"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2004-04",5.50816,
"AUS","HUR","TOT","PC_LF","M","2004-05",5.337049,
"AUS","HUR","TOT","PC_LF","M","2004-06",5.463466,
"AUS","HUR","TOT","PC_LF","M","2004-07",5.550604,
"AUS","HUR","TOT","PC_LF","M","2004-08",5.515811,
"AUS","HUR","TOT","PC_LF","M","2004-09",5.369653,
"AUS","HUR","TOT","PC_LF","M","2004-10",5.122856,
"AUS","HUR","TOT","PC_LF","M","2004-11",5.161569,
"AUS","HUR","TOT","PC_LF","M","2004-12",5.068753,
"AUS","HUR","TOT","PC_LF","M","2005-01",5.07378,
"AUS","HUR","TOT","PC_LF","M","2005-02",5.085003,
"AUS","HUR","TOT","PC_LF","M","2005-03",5.16329,
"AUS","HUR","TOT","PC_LF","M","2005-04",5.123025,
"AUS","HUR","TOT","PC_LF","M","2005-05",5.100072,
"AUS","HUR","TOT","PC_LF","M","2005-06",4.950172,
"AUS","HUR","TOT","PC_LF","M","2005-07",4.971967,
"AUS","HUR","TOT","PC_LF","M","2005-08",4.900029,
"AUS","HUR","TOT","PC_LF","M","2005-09",5.001081,
"AUS","HUR","TOT","PC_LF","M","2005-10",5.015691,
"AUS","HUR","TOT","PC_LF","M","2005-11",4.937207,
"AUS","HUR","TOT","PC_LF","M","2005-12",5.07023,
"AUS","HUR","TOT","PC_LF","M","2006-01",5.162743,
"AUS","HUR","TOT","PC_LF","M","2006-02",5.105403,
"AUS","HUR","TOT","PC_LF","M","2006-03",4.867585,
"AUS","HUR","TOT","PC_LF","M","2006-04",4.96707,
"AUS","HUR","TOT","PC_LF","M","2006-05",4.798802,
"AUS","HUR","TOT","PC_LF","M","2006-06",4.808396,
"AUS","HUR","TOT","PC_LF","M","2006-07",4.656291,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.710527,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.664573,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463087,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.515171,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.568395,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.554278,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.637208,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.460314,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.387055,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.265316,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.324491,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.252711,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.295679,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.211987,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326239,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.426877,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.308947,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.220719,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.982671,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.057982,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.26667,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.267091,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.24435,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.249796,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.010938,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.287791,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.290184,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.462899,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.570759,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907489,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.309068,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.712677,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.514528,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.813281,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.862243,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.67159,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.704917,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.660139,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.623659,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558323,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.491588,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.265917,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.308437,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.42326,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.498812,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.230833,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.145119,
"AUS","HUR","TOT","PC_LF","M","2010-07",5.286443,
"AUS","HUR","TOT","PC_LF","M","2010-08",5.021235,
"AUS","HUR","TOT","PC_LF","M","2010-09",5.053308,
"AUS","HUR","TOT","PC_LF","M","2010-10",5.286057,
"AUS","HUR","TOT","PC_LF","M","2010-11",5.107993,
"AUS","HUR","TOT","PC_LF","M","2010-12",4.876991,
"AUS","HUR","TOT","PC_LF","M","2011-01",5.003064,
"AUS","HUR","TOT","PC_LF","M","2011-02",4.986769,
"AUS","HUR","TOT","PC_LF","M","2011-03",4.925475,
"AUS","HUR","TOT","PC_LF","M","2011-04",4.958347,
"AUS","HUR","TOT","PC_LF","M","2011-05",5.015077,
"AUS","HUR","TOT","PC_LF","M","2011-06",4.91706,
"AUS","HUR","TOT","PC_LF","M","2011-07",5.08954,
"AUS","HUR","TOT","PC_LF","M","2011-08",5.255741,
"AUS","HUR","TOT","PC_LF","M","2011-09",5.22136,
"AUS","HUR","TOT","PC_LF","M","2011-10",5.190084,
"AUS","HUR","TOT","PC_LF","M","2011-11",5.228822,
"AUS","HUR","TOT","PC_LF","M","2011-12",5.196809,
"AUS","HUR","TOT","PC_LF","M","2012-01",5.045963,
"AUS","HUR","TOT","PC_LF","M","2012-02",5.214417,
"AUS","HUR","TOT","PC_LF","M","2012-03",5.180122,
"AUS","HUR","TOT","PC_LF","M","2012-04",4.991806,
"AUS","HUR","TOT","PC_LF","M","2012-05",5.202894,
"AUS","HUR","TOT","PC_LF","M","2012-06",5.163383,
"AUS","HUR","TOT","PC_LF","M","2012-07",5.177006,
"AUS","HUR","TOT","PC_LF","M","2012-08",5.143114,
"AUS","HUR","TOT","PC_LF","M","2012-09",5.488492,
"AUS","HUR","TOT","PC_LF","M","2012-10",5.415023,
"AUS","HUR","TOT","PC_LF","M","2012-11",5.254003,
"AUS","HUR","TOT","PC_LF","M","2012-12",5.433383,
"AUS","HUR","TOT","PC_LF","M","2013-01",5.385983,
"AUS","HUR","TOT","PC_LF","M","2013-02",5.427145,
"AUS","HUR","TOT","PC_LF","M","2013-03",5.634051,
"AUS","HUR","TOT","PC_LF","M","2013-04",5.583369,
"AUS","HUR","TOT","PC_LF","M","2013-05",5.612959,
"AUS","HUR","TOT","PC_LF","M","2013-06",5.695884,
"AUS","HUR","TOT","PC_LF","M","2013-07",5.627674,
"AUS","HUR","TOT","PC_LF","M","2013-08",5.820925,
"AUS","HUR","TOT","PC_LF","M","2013-09",5.705264,
